<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CROS2001,20200410,0.08,0.08,0.06,0.07,1200280
CSBT2001,20200410,0.88,0.95,0.83,0.91,158030
CSTB2001,20200410,0.45,0.5,0.42,0.45,188690
CSTB2002,20200410,1.59,1.59,1.19,1.24,303720
CTCB1902,20200410,0.4,0.42,0.31,0.42,28300
CTCB2001,20200410,0.09,0.11,0.07,0.07,28010
CTCB2002,20200410,0.06,0.06,0.04,0.05,186990
CVHM1902,20200410,0.05,0.14,0.04,0.04,102220
CVHM2001,20200410,1.81,1.81,1.78,1.8,7550
CVIC1902,20200410,0.04,0.05,0.04,0.04,31410
CVIC1903,20200410,0.5,0.5,0.07,0.08,230
CVIC2001,20200410,2.31,2.31,2.3,2.3,2500
CVJC1902,20200410,0.1,0.11,0.07,0.09,43460
CVJC2001,20200410,0.63,1.3,0.63,1.3,55330
CVNM1903,20200410,0.1,0.1,0.05,0.08,57300
CVNM1905,20200410,0.02,0.02,0.01,0.02,120570
CVNM2001,20200410,0.27,0.28,0.24,0.25,8760
CVNM2002,20200410,1.34,1.44,1.34,1.44,13510
CVPB2001,20200410,0.83,0.85,0.72,0.75,163730
CVPB2003,20200410,1.05,1.43,1.02,1.07,3920
CVPB2004,20200410,0.07,0.08,0.02,0.06,593030
CVRE1903,20200410,0.05,0.05,0.05,0.05,170730
CVRE2001,20200410,0.29,0.31,0.27,0.3,22590
CVRE2002,20200410,0.08,0.09,0.07,0.07,23250
CVRE2003,20200410,1.15,1.15,1.06,1.13,9700
E1VFVN30,20200410,11.68,11.68,11.48,11.5,287880
FUESSV50,20200410,10.4,10.5,10.3,10.4,80270
FUESSVFL,20200410,8.4,8.4,7.82,7.92,2060
GTN,20200410,15.2,15.5,14.6,15,1091330
HBC,20200410,7.13,7.25,7,7.05,2366540
HID,20200410,2.3,2.38,2.25,2.34,442810
HRC,20200410,39.1,39.2,39.1,39.2,200
HTL,20200410,12.25,12.25,12.25,12.25,10
POM,20200410,4.08,4.1,4,4,10640
TIP,20200410,14.85,15,14.8,14.8,20000
